Year,Month,FlightDate,Reporting_Airline,Origin,OriginCityName,Dest,DestCityName,DepDelay,ArrDelay,Cancelled,Diverted,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2015,1,2015-01-17,DL,ICT,"Wichita, KS",ATL,"Atlanta, GA",-6.0,-13.0,0.0,0.0,782.0,,,,,
2015,1,2015-01-23,EV,AGS,"Augusta, GA",ATL,"Atlanta, GA",-8.0,-10.0,0.0,0.0,143.0,,,,,
2015,1,2015-01-04,DL,ATL,"Atlanta, GA",TPA,"Tampa, FL",44.0,57.0,0.0,0.0,406.0,0.0,0.0,57.0,0.0,0.0
2015,1,2015-01-05,WN,ATL,"Atlanta, GA",BOS,"Boston, MA",22.0,11.0,0.0,0.0,946.0,,,,,
2015,1,2015-01-14,DL,MCI,"Kansas City, MO",ATL,"Atlanta, GA",0.0,-7.0,0.0,0.0,692.0,,,,,
2015,1,2015-01-26,EV,ATL,"Atlanta, GA",MLI,"Moline, IL",-4.0,-3.0,0.0,0.0,633.0,,,,,
2015,1,2015-01-21,DL,DAL,"Dallas, TX",ATL,"Atlanta, GA",3.0,-2.0,0.0,0.0,721.0,,,,,
2015,1,2015-01-14,WN,RSW,"Fort Myers, FL",ATL,"Atlanta, GA",15.0,10.0,0.0,0.0,515.0,,,,,
2015,1,2015-01-06,EV,ATL,"Atlanta, GA",AEX,"Alexandria, LA",-2.0,-14.0,0.0,0.0,500.0,,,,,
2015,1,2015-01-30,WN,RSW,"Fort Myers, FL",ATL,"Atlanta, GA",-4.0,2.0,0.0,0.0,515.0,,,,,
2015,1,2015-01-29,DL,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",11.0,-11.0,0.0,0.0,1947.0,,,,,
2015,1,2015-01-15,WN,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",-1.0,0.0,0.0,0.0,1747.0,,,,,
2015,1,2015-01-03,DL,BDL,"Hartford, CT",ATL,"Atlanta, GA",1.0,-2.0,0.0,0.0,859.0,,,,,
2015,1,2015-01-17,WN,MCI,"Kansas City, MO",ATL,"Atlanta, GA",-4.0,-17.0,0.0,0.0,692.0,,,,,
2015,1,2015-01-02,DL,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",12.0,-5.0,0.0,0.0,1947.0,,,,,
2015,1,2015-01-29,DL,BNA,"Nashville, TN",ATL,"Atlanta, GA",4.0,-3.0,0.0,0.0,214.0,,,,,
2015,1,2015-01-17,WN,BOS,"Boston, MA",ATL,"Atlanta, GA",-4.0,-39.0,0.0,0.0,946.0,,,,,
2015,1,2015-01-15,DL,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",-4.0,-13.0,0.0,0.0,666.0,,,,,
2015,1,2015-01-09,DL,ATL,"Atlanta, GA",GRR,"Grand Rapids, MI",7.0,1.0,0.0,0.0,640.0,,,,,
